店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
神戸牛 丹山 鉄板焼,050-5487-5814,,京都,府京都市中京区三条通河原町東入中島町,84-1,,https://r.gnavi.co.jp/jc948jvb0000/,TRUE
和牛もつ鍋＆海鮮 個室居酒屋 和ノ音 －わのね－ 海浜幕張店,050-5485-0648,,千葉県,千葉市美浜区ひび野,1-14,aune幕張2F,https://r.gnavi.co.jp/60fdrhjn0000/,TRUE
湯葉豆富料理魚民 大館有浦店,0186-42-2588,,秋田県,大館市有浦,2-37-2,,https://r.gnavi.co.jp/2g7kxv920000/,TRUE
ラピタ屋上海鮮かんかん焼ビアガーデン 「星空ガーデン」,050-5486-3296,,島根県,出雲市今市町,87,,https://r.gnavi.co.jp/jur5zxwh0000/,TRUE
焼肉じゅうじゅうカルビ 清瀬店,050-5486-7332,,東京都,清瀬市松山,3-26-1,,https://r.gnavi.co.jp/hjzx1dad0000/,TRUE
うなぎ しら河 浄心本店,050-5487-4440,,愛知県,名古屋市西区城西,4-20-12,,https://r.gnavi.co.jp/npgzndpw0000/,TRUE
焼肉五苑 フライブルク店,050-5492-7900,,愛媛県,松山市南江戸,3-5-30,,https://r.gnavi.co.jp/727gs6970000/,TRUE
個室空間 湯葉豆腐料理 千年の宴 酒田中町2丁目店,0234-23-2038,,山形県,酒田市中町,2-4-32,日幸商事ビル1F,https://r.gnavi.co.jp/t088053/,TRUE
梅の花 郡山店,050-5487-5790,,福島県,郡山市鳴神,1-30-2,,https://r.gnavi.co.jp/t021603/,TRUE
板門店,050-5484-7862,,東京都,大田区山王,2-42-7,,https://r.gnavi.co.jp/p778200/,TRUE
ミルキー鉄男のかき小屋 宇品店,050-5488-8263,,広島県,広島市南区宇品海岸,1-14,広島みなと公園内,https://r.gnavi.co.jp/mxrsasmw0000/,TRUE
魚民 小杉南口駅前店,0766-56-3988,,富山県,射水市三ケ,2602,アル・プラザ小杉 別棟1F,https://r.gnavi.co.jp/r042344/,TRUE
とんかつ 自然坊,050-5486-6062,,東京都,大田区久が原,4-19-24,,https://r.gnavi.co.jp/cbdcexe90000/,TRUE
和食・懐石 がんこ 和歌山六三園,050-3196-8009,,和歌山県,和歌山市堀止西,1-3-22,,https://r.gnavi.co.jp/k026627/,TRUE
魚民 氷見店,0766-72-1688,,富山県,氷見市加納,436-1,1F,https://r.gnavi.co.jp/j6ecpkyt0000/,TRUE
